timestamp,error_message,error_details
2025-08-21 12:44:21.516,Both HTTP and Puppeteer failed for: https://www.marktechpost.com/2025/08/19/emerging-trends-in-ai-cybersecurity-defense-whats-shaping-2025-top-ai-security-tools/,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.marktechpost.com/2025/08/19/emerging-trends-in-ai-cybersecurity-defense-whats-shaping-2025-top-ai-security-tools/\n    at getContent (/app/backend/dist/index.js:108141:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141723:33)\n    at async ThreatTrackerScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:143125:16)\n    at async processArticle (/app/backend/dist/index.js:143161:44)\n    at async scrapeSource2 (/app/backend/dist/index.js:143435:29)\n    at async runGlobalScrapeJob2 (/app/backend/dist/index.js:143514:29)"", ""operation"": ""threat-tracker-background-article-scraping"", ""sourceName"": ""Foorilla (formerly FooJobs)"", ""hasHtmlStructure"": true}"
2025-08-21 12:44:20.2,Both HTTP and Puppeteer failed for: https://www.securityweek.com/in-other-news-critical-zoom-flaw-citys-water-threatened-by-hack-330-billion-ot-cyber-risk/,"{""name"": ""Error"", ""step"": ""article-processing-in-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.securityweek.com/in-other-news-critical-zoom-flaw-citys-water-threatened-by-hack-330-billion-ot-cyber-risk/\n    at getContent (/app/backend/dist/index.js:108141:11)\n    at async StreamlinedUnifiedScraper.scrapeArticleUrl (/app/backend/dist/index.js:141723:33)\n    at async ThreatTrackerScrapingService.scrapeArticleUrl (/app/backend/dist/index.js:143125:16)\n    at async processArticle (/app/backend/dist/index.js:143161:44)\n    at async scrapeSource2 (/app/backend/dist/index.js:143435:29)\n    at async runGlobalScrapeJob2 (/app/backend/dist/index.js:143514:29)"", ""operation"": ""threat-tracker-background-article-scraping"", ""sourceName"": ""Foorilla (formerly FooJobs)"", ""hasHtmlStructure"": true}"
2025-08-21 12:44:01.992,Both HTTP and Puppeteer failed for: https://finance.yahoo.com/news/,"{""name"": ""Error"", ""step"": ""global-job-source-processing"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://finance.yahoo.com/news/\n    at getContent (/app/backend/dist/index.js:108141:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141820:26)\n    at async NewsRadarScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:142293:16)\n    at async scrapeSource (/app/backend/dist/index.js:142320:26)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142663:61)\n    at async /app/backend/dist/index.js:145953:20"", ""jobType"": ""global-job-source-processing"", ""operation"": ""news-radar-global-scrape-source"", ""sourceName"": ""Yahoo Finance"", ""globalJobRunning"": true}"
2025-08-21 12:44:01.964,Both HTTP and Puppeteer failed for: https://finance.yahoo.com/news/,"{""name"": ""Error"", ""step"": ""source-scraping-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://finance.yahoo.com/news/\n    at getContent (/app/backend/dist/index.js:108141:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141820:26)\n    at async NewsRadarScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:142293:16)\n    at async scrapeSource (/app/backend/dist/index.js:142320:26)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142663:61)\n    at async /app/backend/dist/index.js:145953:20"", ""jobType"": ""source-scraping-job"", ""operation"": ""news-radar-source-processing"", ""sourceName"": ""Yahoo Finance"", ""errorOccurredAt"": ""2025-08-21T12:44:01.963Z""}"
2025-08-21 12:42:56.619,No article links found,"{""name"": ""Error"", ""step"": ""global-job-source-processing"", ""stack"": ""Error: No article links found\n    at scrapeSource (/app/backend/dist/index.js:142327:13)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142663:61)\n    at async /app/backend/dist/index.js:145953:20"", ""jobType"": ""global-job-source-processing"", ""operation"": ""news-radar-global-scrape-source"", ""sourceName"": ""Cincinnati Business Journal"", ""globalJobRunning"": true}"
2025-08-21 12:42:56.612,No article links found,"{""name"": ""Error"", ""step"": ""source-scraping-background-job"", ""stack"": ""Error: No article links found\n    at scrapeSource (/app/backend/dist/index.js:142327:13)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142663:61)\n    at async /app/backend/dist/index.js:145953:20"", ""jobType"": ""source-scraping-job"", ""operation"": ""news-radar-source-processing"", ""sourceName"": ""Cincinnati Business Journal"", ""errorOccurredAt"": ""2025-08-21T12:42:56.612Z""}"
2025-08-21 12:41:26.411,Both HTTP and Puppeteer failed for: https://www.bizjournals.com/cincinnati/news/,"{""name"": ""Error"", ""step"": ""global-job-source-processing"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.bizjournals.com/cincinnati/news/\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async NewsRadarScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:142294:16)\n    at async scrapeSource (/app/backend/dist/index.js:142321:26)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""jobType"": ""global-job-source-processing"", ""operation"": ""news-radar-global-scrape-source"", ""sourceName"": ""Cincinnati Business Journal"", ""globalJobRunning"": true}"
2025-08-21 12:41:26.405,Both HTTP and Puppeteer failed for: https://www.bizjournals.com/cincinnati/news/,"{""name"": ""Error"", ""step"": ""source-scraping-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://www.bizjournals.com/cincinnati/news/\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async NewsRadarScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:142294:16)\n    at async scrapeSource (/app/backend/dist/index.js:142321:26)\n    at async runGlobalScrapeJob (/app/backend/dist/index.js:142664:61)\n    at async /app/backend/dist/index.js:145955:20"", ""jobType"": ""source-scraping-job"", ""operation"": ""news-radar-source-processing"", ""sourceName"": ""Cincinnati Business Journal"", ""errorOccurredAt"": ""2025-08-21T12:41:26.405Z""}"
2025-08-21 12:41:24.927,Both HTTP and Puppeteer failed for: https://foorilla.com/media/cybersecurity/,"{""name"": ""Error"", ""step"": ""global-job-source-processing"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://foorilla.com/media/cybersecurity/\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async ThreatTrackerScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:143123:16)\n    at async scrapeSource2 (/app/backend/dist/index.js:143354:28)\n    at async runGlobalScrapeJob2 (/app/backend/dist/index.js:143515:29)"", ""jobType"": ""global-job-source-processing"", ""operation"": ""threat-tracker-global-scrape-source"", ""sourceName"": ""Foorilla (formerly FooJobs)"", ""globalJobRunning"": true}"
2025-08-21 12:41:24.889,Both HTTP and Puppeteer failed for: https://foorilla.com/media/cybersecurity/,"{""name"": ""Error"", ""step"": ""source-scraping-background-job"", ""stack"": ""Error: Both HTTP and Puppeteer failed for: https://foorilla.com/media/cybersecurity/\n    at getContent (/app/backend/dist/index.js:108142:11)\n    at async StreamlinedUnifiedScraper.scrapeSourceUrl (/app/backend/dist/index.js:141821:26)\n    at async ThreatTrackerScrapingService.scrapeSourceUrl (/app/backend/dist/index.js:143123:16)\n    at async scrapeSource2 (/app/backend/dist/index.js:143354:28)\n    at async runGlobalScrapeJob2 (/app/backend/dist/index.js:143515:29)"", ""jobType"": ""source-scraping"", ""operation"": ""threat-tracker-source-processing"", ""sourceName"": ""Foorilla (formerly FooJobs)"", ""errorOccurredAt"": ""2025-08-21T12:41:24.889Z""}"
